Título,Autor,Portada,Páginas,Fecha de publicación,Sinopsis,URL,Colección
Trenos,Jan Kochanowski,https://www.catedra.com/imagenes/libros/grande/9788437647975-trenos.jpg,256,20/06/2024,"Aunque el cenit de la literatura polaca suele estar asociado a sus grandes autores románticos, ya en el siglo XVI Jan Kochanowski (1530-1584) había elevado al más alto nivel literario la lengua del país. Y es que, verdadero humanista y hombre del Renacimiento, Kochanowski desplegó a lo largo de toda su obra una abrumadora erudición filológica, filosófica e histórica que supo combinar perfectamente con una sutilísima expresividad artística. Entre toda su producción, los ""Trenos"" (1580), un delicado conjunto de elegías dedicado a su hija Úrsula, muerta con solo dos años y medio, brillan con especial intensidad, y es que no habrá en toda la literatura polaca otras voces o sensibilidades que puedan equipararse a su ingenio, calidad expresiva y maestría compositiva hasta que Adam Mickiewicz, ya en el XIX, haga su aparición.",https://www.catedra.com/libro/letras-universales/trenos-jan-kochanowski-9788437647975/,Letras Universales
Colección de relatos de Uji,Varios Autores,https://www.catedra.com/imagenes/libros/grande/9788437647623-coleccion-de-relatos-de-uji.jpg,280,13/06/2024,"La ""Colección de relatos de Uji"" (""Uji shui monogatari"", en japonés) representa una de las más importantes recopilaciones medievales de cuentos de Japón. Sus historias, a menudo de carácter moral o edificante, aunque igualmente ricas en humor y descripciones de costumbres, representan fielmente, desde la tradición oral, la mordaz mirada crítica y el escarnio a la ambivalencia ética de diferentes figuras religiosas. Además, suponen un importante corpus para los estudios japoneses, pues reflejan la disparidad con que las distintas clases sociales interpretaron en este momento temprano las enseñanzas budistas.
Este volumen, que pretende dar muestra tanto de su riqueza como de su diversidad, presenta una antología de los principales relatos de la colección, que se acompaña de un minucioso aparato crítico destinado a garantizar su comprensión y el disfrute de su lectura.",https://www.catedra.com/libro/letras-universales/coleccion-de-relatos-de-uji-varios-autores-9788437647623/,Letras Universales
Poesía completa,S. T. Coleridge,https://www.catedra.com/imagenes/libros/grande/9788437647784-poesia-completa.jpg,624,30/05/2024,"Samuel Taylor Coleridge (1772-1834) pertenece a la primera generación de los poetas románticos ingleses, junto con su amigo William Wordsworth. Ambos se dieron a conocer con las célebres ""Baladas líricas"" (1789), donde ya se señalaban diferencias entre ellos: el uso del lenguaje coloquial en Wordsworth y la primacía de la imaginación en Coleridge. Esta edición ofrece por primera vez al lector de habla española la poesía completa de Coleridge. Del más conocido al más insólito, este libro reúne los diversos poetas que fue el autor: aquí hallaremos al Coleridge visionario (el de, por ejemplo, ""Kubla Khan"") junto al menos conocido de las ""circunstancias trascendidas"", irónico y cercano. En suma, como el mismo poeta expresó: ""Con mis escritos no perseguí la gloria ni ningún beneficio. La poesía ha sido siempre para mí su propia y grandísima recompensa; me ha aliviado en el sufrimiento, ha multiplicado mis alegrías y además me ha hecho observar y descubrir todo lo bueno y hermoso que me rodea"".",https://www.catedra.com/libro/letras-universales/poesia-completa-s-t-coleridge-9788437647784/,Letras Universales
Personajes de Shakespeare,William Hazlitt,https://www.catedra.com/imagenes/libros/grande/9788437647432-personajes-de-shakespeare.jpg,336,21/03/2024,"""Somos unos tipos excelentes"" escribió Robert Louis Stevenson, ""pero nadie escribe como William Hazlitt"". ¿Qué significa escribir como Hazlitt? Resulta difícil moverse entre libros y pensar menos en los autores que en los hombres que los compusieron. Esta era, sin embargo, la tendencia instintiva, fervorosa, del incomparable ensayista inglés. Con la lectura, decía Hazlitt, no se trataba de procurar tanto un ascenso mental como natural. Sus páginas expresaron al mismo tiempo las ventajas de su estilo de prosa conversacional. Volver a los viejos libros reafirmaba su amistad con los ""huéspedes ideales"" de la imaginación. Ese sentido del regreso, intus et in cute, abarca todo su quehacer literario.
Shakespeare ocupaba un lugar central en la idea de la sabiduría que tenía Hazlitt, ""esa clase de sabiduría que los libros no suelen proporcionar"". Lo admiraba, a las puertas del Romanticismo inglés, por ser el menos egoísta de los autores. Conocer a sus personajes era un modo de mantener el contacto directo con la naturaleza humana. Admirado por críticos como Heine y Sainte-Beuve, Hazlitt dice en esta obra que Shakespeare es el menos y el más moral de los poetas. Su apreciación del genio de la humanidad puede entenderse como una acertada reducción de la hipérbole de Harold Bloom. Los ""Personajes"" de Hazlitt son el comentario que mejor dramatiza aún la experiencia de leer a Shakespeare.",https://www.catedra.com/libro/letras-universales/personajes-de-shakespeare-william-hazlitt-9788437647432/,Letras Universales
Cartas sociables,Margaret Cavendish,https://www.catedra.com/imagenes/libros/grande/9788437647234-cartas-sociables.jpg,504,15/02/2024,"En ""Cartas sociables"" (1664), Margaret Cavendish concibe su amistad platónica y epistolar con otra noble dama que, como ella, se encuentra lejos de Inglaterra y con la que se cartea imaginariamente. En estas misivas, de interés político, científico, social y literario, la autora pretende suturar las heridas del país, aún dividido en facciones por el conflicto fratricida de la guerra civil (1642-1649), proponiendo como vía de reconciliación el concepto de ""sociabilidad"".
Margaret Cavendish (1623-1673) fue una de las escritoras pioneras del siglo XVII en Inglaterra. Su vivo interés por todas las formas del saber y, sobre todo, por escribir y publicar, hacen de ella una autora realmente versátil y rompedora. La duquesa de Newcastle vivió la experiencia del exilio en los Países Bajos, dejando atrás su círculo familiar y acompañando a su esposo tras la derrota del bando monárquico durante la guerra civil en su país natal. ""Cartas sociables"" supone un hito en el uso del género epistolar que es reflejo fidedigno de la variedad temática presente en su obra, mediante la que Cavendish buscaba regenerar una Inglaterra sumida en disensiones internas en los albores de la Restauración de Carlos II.",https://www.catedra.com/libro/letras-universales/cartas-sociables-margaret-cavendish-9788437647234/,Letras Universales
La señora Dalloway recibe,Virginia Woolf,https://www.catedra.com/imagenes/libros/grande/9788437647241-la-senora-dalloway-recibe.jpg,192,08/02/2024,"Virginia Woolf se cuenta entre los escritores que, a comienzos del siglo XX, abrieron la puerta a la literatura psicológica a la que hoy estamos acostumbrados. Autora prolífica, escribió, en treinta años, nueve novelas, decenas de relatos, cientos de ensayos, miles de cartas y un diario en treinta volúmenes, además de dos biografías y alguna obra de teatro.
Se presentan aquí siete de esos relatos, agrupados en torno a la señora Dalloway, en cuya fiesta (que prepara en su novela homónima), se ambientan; así como algo más de tres capítulos de la primera de las novelas, ""Viaje de ida"", que la llevarían a la obra maestra que es ""La señora Dalloway"". En todos estos textos, Virginia Woolf, sin romper aún con la narrativa tradicional, propone, no obstante, sus habituales reflexiones sobre el paso del tiempo, la madurez, la sociedad y el hecho de ser mujer en ella.",https://www.catedra.com/libro/letras-universales/la-senora-dalloway-recibe-virginia-woolf-9788437647241/,Letras Universales
El pícaro inglés,Richard Head,https://www.catedra.com/imagenes/libros/grande/9788437647050-el-picaro-ingles.jpg,568,25/01/2024,"Considerada la primera novela picaresca escrita en lengua inglesa, ""El pícaro inglés"" es fruto de la época en que fue escrita: la Restauración. Su protagonista, Meriton Latroon, es un personaje descarado, insensible, depravado y misógino. Con él, y con aquellos que encuentra en su camino, descubrimos una parte oscura de la sociedad inglesa de finales del siglo XVII. 
Cuando se publicó, y durante varias décadas, la novela gozó de una inmensa popularidad en Inglaterra, e incluso fue traducida a varias lenguas europeas. Es por todo ello que tanto Richard Head, su autor, como la obra son considerados pioneros en el desarrollo de la novela moderna en su idioma. La que aquí presentamos supone la primera edición crítica y anotada no solo en castellano sino en cualquier otra lengua, incluido el inglés.
Traducción de Sonia S. Perelló",https://www.catedra.com/libro/letras-universales/el-picaro-ingles-richard-head-9788437647050/,Letras Universales
Watt,Samuel Beckett,https://www.catedra.com/imagenes/libros/grande/9788437646664-watt.jpg,352,19/10/2023,"La obra de Samuel Beckett (Dublín, 1906-París, 1989) constituye una de las más interesantes e incisivas del pasado siglo. Su extraordinaria capacidad para exponer los intersticios de la existencia social de los seres humanos, a través del absurdo, el humor y los juegos de lenguaje, imprimió en la literatura una huella indeleble y extendió sus fronteras conceptuales hasta límites nuevos. ""Watt"" es una novela experimental, filosófica, cómica e inclasificable que, entre otras cosas, constituye un enorme ejercicio de metaficción. En ella, su homónimo protagonista (Watt), un desharrapado del que apenas llegamos a saber nada, pasa dos años como criado en la casa del señor Knott, un enigmático y caprichoso terrateniente cuyo servicio vive en un ambiente de tensión opresiva. ¿Qué ocurre exactamente en casa del señor Knott? No lo sabemos, y sin embargo, como lectores, asistimos a la inquietante transformación que a causa de ello sufre el personaje principal, cuyos esquemas mentales se resquebrajan por completo.",https://www.catedra.com/libro/letras-universales/watt-samuel-beckett-9788437646664/,Letras Universales
Cuentos fantásticos chinos,Varios,https://www.catedra.com/imagenes/libros/grande/9788437646640-cuentos-fantasticos-chinos.jpg,344,12/10/2023,"Dentro de la muy larga tradición de la cuentística china, la corriente del «relato extraordinario» tiene sus orígenes, al menos, en el siglo IV a. C., momento desde el cual se ha venido cultivando con extremada riqueza. Tratar de describir en poco espacio su extensión y su diversidad no solo resultaría imposible por los muchos relatos que se agrupan bajo esta etiqueta, sino también por lo multifacético de sus irradiaciones a otras esferas de la cultura china y de otros países, desde la pintura, la ópera o la arquitectura a las grandes novelas extensas de las dinastías Ming y Ching, la novela de artes marciales, el cine y la novela de terror, la poesía o la música. La presente antología abarca desde aquellos primeros albores hasta el siglo XVIII, cuando aparece el gran maestro del género: Yuan Mei (1716-1797), por lo que servirá al lector, además de como puerta de entrada a la narrativa fantástica china, como muestra de la vastísima y detallada información sociológica, religiosa y etnográfica que esta contiene.",https://www.catedra.com/libro/letras-universales/cuentos-fantasticos-chinos-varios-9788437646640/,Letras Universales
"Gockel, Hinkel y Gackeleia",Clemens Brentano,https://www.catedra.com/imagenes/libros/grande/9788437646275-gockel-hinkel-y-gackeleia.jpg,248,08/06/2023,"Clemens Brentano (Ehrenbreitstein, 1778-Aschaffenburg, 1842), autor de una amplia obra literaria entre la que, tanto por su originalidad como por su interés en rescatar historias y leyendas populares, sobresale su obra narrativa, fue uno de los máximos exponentes del llamado círculo de Heidelberg y uno de los más importantes escritores del romanticismo alemán.
""Gockel, Hinkel y Gackeleia"" se contó entre los escritos más apreciados y valorados por su autor, como demuestra que fuera no solo la única narración cuya publicación autorizara en vida, sino también que regresara a ella años después de su escritura para ampliarla incluyendo sus experiencias personales y su enorme bagaje cultural y religioso. Además, se trata de una obra que permitirá a los lectores conocer la faceta lírica de Brentano, ya que en ella se encuentran distintos poemas que atestiguan su ingenio para el género.",https://www.catedra.com/libro/letras-universales/gockel-hinkel-y-gackeleia-clemens-brentano-9788437646275/,Letras Universales
Veinticuatro horas en la vida de una mujer y otros relatos,Stefan Zweig,https://www.catedra.com/imagenes/libros/grande/9788437646282-veinticuatro-horas-en-la-vida-de-una-mujer-y-otros-relatos.jpg,232,08/06/2023,"Hablar de Stefan Zweig (Viena, 1881-Petrópolis, 1942) es hablar de un testigo de su tiempo. Autor cosmopolita y añorante de una Europa que veía deshacerse, publicó una extensa obra en la que destacó como cronista, narrador y biógrafo, y con la cual cosechó un importante éxito entre los lectores. Las cuatro narraciones cortas que se contienen en este volumen (""Veinticuatro horas en la vida de una mujer"", ""Carta de una desconocida"", ""La colección invisible"" y ""El refugiado"") representan cuatro indiscutibles logros dentro de la producción narrativa de Zweig, así como algunas de sus piezas más representativas y mejor recibidas por la crítica y el público.",https://www.catedra.com/libro/letras-universales/veinticuatro-horas-en-la-vida-de-una-mujer-y-otros-relatos-stefan-zweig-9788437646282/,Letras Universales
Poesía polaca del Modernismo,Varios Autores,https://www.catedra.com/imagenes/libros/grande/9788437646060-poesia-polaca-del-modernismo.jpg,320,18/05/2023,"Las tres décadas transcurridas a caballo entre los siglos XIX y XX, y en concreto los años que van desde 1890 a 1918, que delimitan en Polonia, respectivamente, el final del Positivismo y el inicio del período de Entreguerras, se corresponden con una etapa en la que la bohemia y los dandis se enfrentaron a la moral burguesa, la estandarización social y la dependencia de la tecnología con una explosión de extraordinaria creatividad y originalidad, y a la cual es habitual referirse como la Joven Polonia. La presente antología reúne algunos de los poemas más célebres de los cuatro poetas que con mayor pureza reflejan y representan las diferentes tendencias estéticas y los núcleos temáticos de este periodo: Jan Kasprowicz (1860-1926), Kazimierz Przerwa-Tetmajer (1865-1940), Tadeusz Micinski (1873-1918) y Boleslaw Lesmian (1877-1937).",https://www.catedra.com/libro/letras-universales/poesia-polaca-del-modernismo-varios-autores-9788437646060/,Letras Universales
Poesía experimental,E.E. Cummings,https://www.catedra.com/imagenes/libros/grande/9788437645698-poesia-experimental.jpg,384,16/03/2023,"Autor de una extensa producción literaria en la que se incluyen también novelas, relatos, teatro, ensayo y cuentos infantiles, E. E. Cummings (1894-1962) es conocido, ante todo, por ser uno de los poetas más arriesgados, controvertidos y complejos de la literatura norteamericana de la primera mitad del siglo XX. Nada de esto impidió, sin embargo, que llegase a recibir el elogio de la crítica y la estimación de 
los lectores, hasta tal grado que, en los años sesenta, se convirtió en el segundo poeta más leído en los Estados Unidos, teniendo por delante solo a Robert Frost. El interés por su obra no ha decrecido desde entonces.
Esta antología bilingüe, que se basa en la más reciente y depurada recolección de la obra completa de E. E. Cummings, incluye una amplia selección tanto de los poemas que publicó en vida como de aquellos que quedaron inicialmente inéditos y fueron recopilándose después de su muerte. La traducción, por su parte, pretende reflejar, además del contenido de los textos, el estilo y la peculiar técnica compositiva de su autor, que se encuentra en la esencia de su actividad poética.",https://www.catedra.com/libro/letras-universales/poesia-experimental-ee-cummings-9788437645698/,Letras Universales
¿Por qué has dejado solo al caballo?; Estado de sitio,Mahmud Darwish,https://www.catedra.com/imagenes/libros/grande/9788437645681-por-que-has-dejado-solo-al-caballo--estado-de-sitio.jpg,328,16/03/2023,"Mahmud Darwish (Birwa, Palestina, 1941-Houston, EEUU, 2008) es una de las más importantes figuras de la literatura árabe contemporánea. Considerado el poeta del pueblo palestino, compuso una poesía de fuerte compromiso ético y político, que supo hundir sus raíces en la tradición árabe al tiempo que abordaba las urgencias sociales del presente y los conflictos propios de la modernidad histórica.
Los dos libros que reúne este volumen sintetizan la tensión superadora que caracteriza el conjunto de la obra de Darwish. Entre lo antiguo y lo moderno, lo local y lo universal, el canto y la lucha, la épica y la lírica, ""¿Por qué has dejado solo al caballo?"" supone, según su mismo autor, una autobiografía personal y poética, pues contiene rasgos biográficos y estilísticos de toda su trayectoria, mientras que ""Estado de sitio"" representa el esfuerzo por atrapar un presente demolido por bulldozers.",https://www.catedra.com/libro/letras-universales/por-que-has-dejado-solo-al-caballo--estado-de-sitio-mahmud-darwish-9788437645681/,Letras Universales
Las tetas de Tiresias,Guillaume Apollinaire,https://www.catedra.com/imagenes/libros/grande/9788437645469-las-tetas-de-tiresias.jpg,208,16/02/2023,"Llegado a la literatura justo en el momento en el que acababa el Simbolismo, y fallecido la víspera del advenimiento del Dadaísmo en París 
y del nacimiento del Surrealismo, Guillaume Apollinaire (1880-1918) desarrolló una obra situada en la encrucijada de las principales tendencias estéticas que atraviesan el siglo XX. 
En ""Las tetas de Tiresias"", subtitulada ""Drama surrealista en dos actos y un prólogo"", Teresa muda de sexo y se convierte en hombre para librarse de las imposiciones sociales que sufre como mujer, tras lo cual abandona a su marido y emprende una exitosa carrera militar en Zanzíbar. El marido, a su vez, se adapta a la situación y asume hiperbólicamente los roles asociados a las mujeres, llegando a tener en un único día 40050 hijos. Ingeniosa, irreverente y arriesgada, la obra de Apollinaire cuestiona y desafía la moral de su época, al tiempo que llama a abrazar un futuro radicalmente nuevo, en el que los antiguos moldes se desechan para siempre.",https://www.catedra.com/libro/letras-universales/las-tetas-de-tiresias-guillaume-apollinaire-9788437645469/,Letras Universales
Antología poética,Li Bai,https://www.catedra.com/imagenes/libros/grande/9788437645452-antologia-poetica.jpg,368,09/02/2023,"Li Bai (701-762), uno de los poetas más famosos y apreciados de la prolífica dinastía Tang (618-907), es también, actualmente, el poeta chino más conocido y traducido tanto en el mundo hispánico como en una gran parte del resto de Occidente. Sus memorables poemas han cautivado a muchos de nuestros poetas, desde Rubén Darío a Gary Snyder, pasando por Ezra Pound y Octavio Paz, así como a varias generaciones de lectores de casi todos los rincones del mundo. Autor de textos musicales e imaginativos, en los que el mundo humano y la naturaleza son indisociables, defendió una poesía que cantara las emociones humanas, la fugacidad de la vida y la belleza del mundo.
Esta edición bilingüe presenta una selección de ciento cuarenta y ocho poemas, entre los que se cuentan muchas de las composiciones que, entre los lectores chinos, le granjearon a Li Bai el apodo de «El Inmortal de la poesía» y lo elevaron a las cimas del panteón poético junto con otros autores clásicos como su íntimo amigo Du Fu, Wang Wei o Bai Juyi.",https://www.catedra.com/libro/letras-universales/antologia-poetica-li-bai-9788437645452/,Letras Universales
Poemas,Marina Tsvietáieva,https://www.catedra.com/imagenes/libros/grande/9788437645322-poemas.jpg,344,19/01/2023,"Marina Tsvietáieva fue una de las mejores y más importantes poetas rusas del siglo XX. Esta edición bilingüe reúne diez poemas lírico-narrativos extensos, entre los que se encuentran ""Poema de la montaña"" y ""Poema del fin"", considerados como sus cimas creativas y como dos de los mejores poemas escritos en el pasado siglo.",https://www.catedra.com/libro/letras-universales/poemas-marina-tsvietaieva-9788437645322/,Letras Universales
